Date,New Tests Reported,New Cases,New Hospitalizations,Estimated Hospitalizations,New ICU Cases,Estimated ICU Cases,New Deaths
2020-10-30,12879,381,11,122,0,26,3
2020-10-29,15013,471,19,123,3,29,3
2020-10-28,13338,358,9,122,-3,30,4
2020-10-27,11116,330,8,120,7,35,4
2020-10-26,10456,269,16,123,6,29,7
2020-10-25,7827,358,9,119,3,27,0
2020-10-24,10819,269,8,130,4,27,2
2020-10-23,10784,386,15,132,1,27,1
2020-10-22,13360,430,12,125,2,27,1
2020-10-21,19639,235,15,123,3,28,3
2020-10-20,10449,263,12,119,3,28,6
2020-10-19,8850,265,18,118,4,27,4
2020-10-18,8850,380,7,118,2,24,0
2020-10-17,19423,373,11,117,1,21,0
2020-10-16,19423,201,12,126,4,30,3
2020-10-15,6724,311,20,138,3,32,3
2020-10-14,8315,143,10,135,4,30,3
2020-10-13,9662,303,8,135,1,27,4
2020-10-12,10078,278,10,142,3,27,14
2020-10-11,7573,195,11,138,3,25,0
2020-10-10,9875,408,11,136,2,23,1
2020-10-09,11371,320,18,145,1,27,4
2020-10-08,55349,357,6,137,-1,31,2
2020-10-07,10915,291,20,144,10,33,6
2020-10-06,10615,354,24,129,6,23,7
2020-10-05,8788,161,17,119,1,19,3
2020-10-04,6577,224,10,112,1,15,0
2020-10-03,8797,236,15,115,1,17,5
2020-10-02,9143,409,6,110,1,17,4
2020-10-01,9216,306,9,119,1,20,2
2020-09-30,11709,305,20,127,6,27,9
2020-09-29,10709,195,10,121,5,22,2
2020-09-28,8997,251,13,120,1,21,5
2020-09-27,6010,124,5,121,0,23,0
2020-09-26,8550,279,14,131,2,25,1
2020-09-25,7713,330,10,134,-3,27,0
2020-09-24,7713,405,13,138,3,33,2
2020-09-23,13609,171,10,154,1,33,6
2020-09-22,5091,278,15,154,4,32,2
2020-09-21,8130,222,17,157,8,32,5
2020-09-20,6374,348,14,152,1,26,0
2020-09-19,9097,284,9,151,4,25,0
2020-09-18,9263,286,14,158,3,23,3
2020-09-17,10235,388,15,149,2,20,3
2020-09-16,9495,174,17,141,4,18,6
2020-09-15,8644,264,14,135,3,15,6
2020-09-14,5969,294,29,136,3,16,8
2020-09-13,5921,208,10,112,0,13,0
2020-09-12,8281,265,18,127,4,14,0
2020-09-11,8531,445,12,136,2,17,4
2020-09-10,9208,361,13,141,0,20,5
2020-09-09,8311,284,16,142,2,25,4
2020-09-08,6788,247,5,138,0,23,12
2020-09-07,4727,211,7,149,0,24,1
2020-09-06,6788,216,11,160,1,27,1
2020-09-05,4271,308,15,174,4,34,3
2020-09-04,7445,443,5,177,0,30,3
2020-09-03,7554,453,25,188,1,32,1
2020-09-02,9031,325,27,180,7,34,5
2020-09-01,7606,250,17,164,5,31,7
2020-08-31,6986,267,14,164,5,27,6
2020-08-30,5731,304,12,165,0,24,0
2020-08-29,5360,253,16,169,1,24,3
2020-08-28,6796,263,18,167,3,26,3
2020-08-27,8821,285,25,175,8,27,3
