Date,New Cases,New Tests,Hospitalizations,ICU
2020-06-02,100,0,0,0
2020-06-01,213,1566,0,0
2020-05-31,162,2542,240,97
2020-05-30,181,2854,230,92
2020-05-29,184,3394,272,89
2020-05-28,100,3028,255,98
2020-05-27,116,3025,255,105
2020-05-26,109,2314,274,101
2020-05-25,130,2700,269,106
2020-05-24,175,2905,198,69
2020-05-23,216,3698,181,78
2020-05-22,107,4147,249,101
2020-05-21,100,3804,230,95
2020-05-20,246,4289,247,89
2020-05-19,61,3189,253,93
2020-05-18,48,2194,229,86
2020-05-17,149,1533,194,78
2020-05-16,89,2644,201,78
2020-05-15,149,3437,235,85
2020-05-14,219,2993,212,78
2020-05-13,155,3093,227,79
2020-05-12,55,2841,248,98
2020-05-11,54,2270,230,100
2020-05-10,118,1720,196,77
2020-05-09,142,2622,178,59
2020-05-08,140,3097,218,87
2020-05-07,87,2815,188,74
2020-05-06,124,3606,186,69
2020-05-05,66,2909,192,73
2020-05-04,84,2275,202,62
2020-05-03,102,1800,169,52
2020-05-02,90,2440,187,58
2020-05-01,152,2763,202,58
2020-04-30,125,2541,181,61
2020-04-29,101,2492,190,63
2020-04-28,32,2202,175,70
2020-04-27,48,1313,178,74
2020-04-26,98,1471,157,62
2020-04-25,118,2070,148,55
2020-04-24,31,2145,159,70
2020-04-23,67,1677,150,63
2020-04-22,66,1702,158,59
2020-04-21,24,1290,162,70
2020-04-20,36,787,148,54
2020-04-19,68,791,128,42
2020-04-18,57,932,144,56
2020-04-17,72,1059,155,59
2020-04-16,50,1090,129,48
2020-04-15,83,1017,138,68
2020-04-14,21,779,104,45
2020-04-13,7,504,122,62
2020-04-12,49,616,103,51
2020-04-11,81,903,107,52
2020-04-10,57,969,118,63
2020-04-09,63,786,124,57
2020-04-08,89,978,127,63
2020-04-07,40,758,99,59
2020-04-06,49,516,129,75
2020-04-05,47,641,130,72
2020-04-04,70,737,140,63
2020-04-03,55,896,112,71
2020-04-02,54,1190,103,44
2020-04-01,104,1096,115,47
2020-03-31,38,656,67,31
2020-03-30,33,731,94,46
2020-03-29,25,760,0,0
2020-03-28,79,961,0,0
2020-03-27,67,829,50,31
2020-03-26,64,982,0,0
2020-03-25,36,585,0,0
2020-03-24,25,515,0,0
2020-03-23,28,337,0,0
2020-03-22,17,892,0,0
2020-03-21,13,446,0,0
2020-03-20,13,457,0,0
2020-03-19,10,228,0,0
2020-03-18,12,242,0,0
2020-03-17,7,148,0,0
2020-03-16,5,139,0,0
2020-03-15,3,93,0,0
2020-03-14,8,117,0,0
2020-03-13,0,86,0,0
2020-03-12,0,76,0,0
2020-03-11,1,50,0,0
2020-03-10,0,61,0,0
2020-03-09,1,40,0,0
2020-03-08,0,0,0,0
2020-03-07,0,0,0,0
2020-03-06,1,45,0,0
2020-03-05,0,25,0,0
2020-03-04,0,0,0,0
2020-03-03,2,14,0,0
2020-03-02,0,15,0,0
2020-03-01,0,0,0,0

exported at 2020-06-02T21:37:09.260081
