Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths
2020-06-08,113,,,,
2020-06-07,119,1111,,,1
2020-06-06,271,2709,291,135,2
2020-06-05,294,3819,297,129,9
2020-06-04,102,4318,282,122,7
2020-06-03,132,3451,283,123,8
2020-06-02,94,3408,293,129,3
2020-06-01,209,3109,279,120,0
2020-05-31,158,3136,269,118,1
2020-05-30,175,3752,277,120,1
2020-05-29,167,4398,272,89,3
2020-05-28,99,4048,277,117,6
2020-05-27,115,3575,293,123,5
2020-05-26,107,2513,285,117,0
2020-05-25,125,2823,284,117,0
2020-05-24,173,2980,270,115,1
2020-05-23,206,3801,262,120,12
2020-05-22,106,4217,253,125,6
2020-05-21,99,3817,247,117,14
2020-05-20,243,4296,260,118,10
2020-05-19,59,3191,252,114,0
2020-05-18,48,2194,247,110,0
2020-05-17,148,1601,252,116,2
2020-05-16,88,2702,236,102,2
2020-05-15,148,3522,236,109,4
2020-05-14,219,3001,244,102,0
2020-05-13,153,3106,242,105,2
2020-05-12,54,2838,248,88,2
2020-05-11,53,2271,230,85,0
2020-05-10,118,1720,228,81,2
2020-05-09,142,2623,226,85,3
2020-05-08,140,3093,220,77,5
2020-05-07,85,2813,220,78,1
2020-05-06,124,3606,214,71,4
2020-05-05,66,2905,209,70,4
2020-05-04,84,2278,210,69,5
2020-05-03,102,1826,213,64,0
2020-05-02,90,2489,210,62,2
2020-05-01,151,2833,213,60,5
2020-04-30,124,2596,211,72,1
2020-04-29,101,2493,208,74,2
2020-04-28,32,2197,201,75,2
2020-04-27,48,1314,190,76,1
2020-04-26,98,1472,180,73,1
2020-04-25,118,2073,177,74,2
2020-04-24,31,2145,175,68,0
2020-04-23,67,1678,173,75,2
2020-04-22,66,1702,172,73,1
2020-04-21,24,1289,179,77,0
2020-04-20,36,788,,,1
2020-04-19,68,792,,,0
2020-04-18,57,933,,,4
2020-04-17,72,1060,,,3
2020-04-16,50,1088,,,3
2020-04-15,83,1018,,,3
2020-04-14,21,780,,,0
2020-04-13,7,505,,,0
2020-04-12,49,616,,,1
2020-04-11,81,904,,,1
2020-04-10,57,969,,,0
2020-04-09,63,791,,,0
2020-04-08,89,982,,,2
2020-04-07,40,760,,,1
2020-04-06,49,516,,,0
2020-04-05,47,641,,,0
2020-04-04,70,741,,,1
2020-04-03,55,896,,,0
2020-04-02,54,1190,,,3
2020-04-01,104,1095,,,3
2020-03-31,38,656,,,3
2020-03-30,33,732,,,0
2020-03-29,24,760,,,1
2020-03-28,79,962,,,0
2020-03-27,67,829,,,2
2020-03-26,64,982,,,0
2020-03-25,36,585,,,1
2020-03-24,25,514,,,0
2020-03-23,28,337,,,0
2020-03-22,17,886,,,0
2020-03-21,13,446,,,0
2020-03-20,12,457,,,0
2020-03-19,10,228,,,0
2020-03-18,12,242,,,0
2020-03-17,7,148,,,0
2020-03-16,5,139,,,0
2020-03-15,3,93,,,0
2020-03-14,8,117,,,0
2020-03-13,0,83,,,0
2020-03-12,,76,,,0
2020-03-11,1,49,,,0
2020-03-10,,56,,,0
2020-03-09,1,40,,,0
2020-03-08,0,0,,,0
2020-03-07,,0,,,0
2020-03-06,0,45,,,0
2020-03-05,0,25,,,0
2020-03-04,,0,,,0
2020-03-03,0,14,,,0
2020-03-02,0,15,,,0
2020-03-01,0,0,,,0
