Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-07-03,713,,,,6,1.1193962853
2020-07-02,652,5963,584,187,9,1.1241176000700002
2020-07-01,570,7001,556,193,5,1.12885270448
2020-06-30,779,7746,542,192,10,1.1335908149299998
2020-06-29,456,9918,510,176,4,1.13831760732
2020-06-28,146,6108,485,175,3,1.1430387747600002
2020-06-27,539,7952,492,170,0,1.14775005172
2020-06-26,477,1583,467,179,17,1.15244622194
2020-06-25,501,1261,451,166,7,1.15712093176
2020-06-24,350,3055,437,161,26,1.16176649251
2020-06-23,140,4297,406,154,4,1.1663735727
2020-06-22,171,3999,376,152,0,1.1709308655
2020-06-21,420,4081,361,142,2,1.17542465259
2020-06-20,396,5229,363,142,10,1.17983835379
2020-06-19,280,4893,344,138,7,1.1841522197499998
2020-06-18,127,5037,335,141,7,1.1883428051
2020-06-17,196,5177,351,149,10,1.19238238067
2020-06-16,241,4030,364,151,12,1.19623841461
2020-06-15,196,3871,346,138,0,1.1998723126200002
2020-06-14,290,4188,321,143,4,1.19843595875
2020-06-13,127,3815,336,150,7,1.19667825241
2020-06-12,160,4712,311,150,8,1.1945496125900001
2020-06-11,246,3606,325,156,4,1.19199725498
2020-06-10,143,4233,312,143,13,1.18896711794
2020-06-09,83,3658,315,146,8,1.18540676112
2020-06-08,108,3108,327,149,0,1.18126935529
2020-06-07,109,3332,322,148,1,1.17651873337
2020-06-06,258,3634,309,137,2,1.17113525566
2020-06-05,274,4712,315,131,9,1.16512193392
2020-06-04,102,4822,300,123,6,1.15850993075
2020-06-03,128,3343,296,124,9,1.15136232794
2020-06-02,89,2919,306,130,3,1.14377499177
2020-06-01,200,3182,292,121,0,1.13587364247
2020-05-31,150,3280,283,120,1,1.1278069138
2020-05-30,170,3328,291,122,1,1.11973585627
2020-05-29,163,3925,262,100,3,1.11182155801
2020-05-28,87,3477,291,119,6,1.10421273289
2020-05-27,112,2718,307,125,5,1.0970352804999999
2020-05-26,105,2311,301,119,0,1.09038528031
2020-05-25,120,2535,300,119,0,1.08432603357
2020-05-24,170,2907,286,117,1,1.07888890017
2020-05-23,202,2794,278,122,11,1.0740770466299998
2020-05-22,104,3126,269,127,7,1.06987093958
2020-05-21,95,2660,262,119,14,1.06623446049
2020-05-20,240,3168,275,120,10,1.0631207654100001
2020-05-19,58,2371,269,116,0,1.06047733737
2020-05-18,46,1526,263,111,0,1.05824997919
2020-05-17,147,1029,267,117,2,1.05638572026
2020-05-16,87,1581,251,103,2,1.05483474931
2020-05-15,145,2580,250,110,4,1.05355155138
2020-05-14,216,2128,259,102,0,1.0524954411299998
2020-05-13,152,2107,257,105,3,1.0516306686399999
2020-05-12,54,2134,263,88,1,1.05092624348
2020-05-11,53,1657,232,85,0,1.0503555898799999
2020-05-10,115,1580,230,81,2,1.04989611471
2020-05-09,141,1696,228,85,3,1.0495287445700001
2020-05-08,139,2054,222,77,5,1.0492374684499999
2020-05-07,84,1784,222,78,1,1.04900890755
2020-05-06,123,2195,216,71,4,1.0488319242200002
