Date,New Tests Administered,Pos Tests Administered,New Tests Reported,New Cases,Hospitalizations,ICU,New Deaths,Rt Rate,Travel Distance,Visitation,Encounter Density,Social Distance Grade,SNF Cases
2022-06-10,,,,3215,,,23,,-,-,-,-,19
2022-06-09,,,,0,188,20,0,,-,-,-,-,0
2022-06-08,,,,0,186,18,0,,-,-,-,-,0
2022-06-07,,,,4206,179,18,0,1.25,-,-,-,-,16
2022-06-06,1711,211,69918,0,158,18,0,1.24,-,-,-,-,0
2022-06-05,2137,395,94634,0,151,21,0,1.22,-,-,-,-,0
2022-06-04,4651,854,94634,0,138,17,0,1.21,-,-,-,-,0
2022-06-03,9922,1332,94634,3091,134,12,11,1.2,-,-,-,-,15
2022-06-02,12026,1649,94634,0,132,11,0,1.19,-,-,-,-,0
2022-06-01,13342,1638,94634,0,139,18,0,1.18,-,-,-,-,0
2022-05-31,15278,1932,94634,2620,139,19,0,1.17,-,-,-,-,19
2022-05-30,4702,752,94634,0,140,18,0,1.16,-,-,-,-,0
2022-05-29,3943,680,98355,0,137,19,0,1.15,-,-,-,-,0
2022-05-28,4285,710,98355,0,129,19,0,1.14,-,-,-,-,0
2022-05-27,15216,1234,98355,2973,138,21,4,1.14,-,-,-,-,2
2022-05-26,17056,1343,98355,0,139,17,0,1.14,-,-,-,-,0
2022-05-25,18652,1333,98355,0,126,17,0,1.14,-,-,-,-,0
2022-05-24,19675,1323,98355,2440,129,18,2,1.14,-,-,-,-,24
2022-05-23,17546,1399,98355,0,131,20,0,1.15,-,-,-,-,0
2022-05-22,3946,631,99305,0,126,22,0,1.16,-,-,-,-,0
2022-05-21,4578,694,99305,0,112,15,0,1.17,-,-,-,-,0
2022-05-20,17434,1067,99305,2814,118,15,5,1.17,-,-,-,-,20
2022-05-19,14898,964,99305,0,113,13,0,1.18,-,-,-,-,0
2022-05-18,18030,1108,99305,0,114,12,0,1.19,-,-,-,-,0
2022-05-17,19194,1045,99305,2077,112,14,0,1.2,-,-,-,-,1
2022-05-16,18666,1179,99305,0,89,15,0,1.21,-,-,-,-,0
2022-05-15,3909,516,90470,0,87,13,0,1.21,-,-,-,-,0
2022-05-14,4464,529,90470,0,88,13,0,1.21,-,-,-,-,0
2022-05-13,17208,825,90470,1733,87,14,4,1.21,-,-,-,-,4
2022-05-12,15012,856,90470,0,83,17,0,1.21,-,-,-,-,0
2022-05-11,18806,895,90470,0,87,14,0,1.21,-,-,-,-,0
2022-05-10,17529,826,90470,1728,90,13,8,1.2,-,-,-,-,0
2022-05-09,18095,869,90470,0,101,17,0,1.2,-,-,-,-,0
2022-05-08,3423,419,89691,0,117,17,0,1.19,-,-,-,-,0
2022-05-07,4102,394,89691,0,108,14,0,1.19,-,-,-,-,0
2022-05-06,15448,641,89691,1381,94,14,2,1.18,-,-,-,-,11
2022-05-05,15309,674,89691,0,98,17,0,1.18,-,-,-,-,0
2022-05-04,18716,650,89691,0,90,18,0,1.18,-,-,-,-,0
2022-05-03,17971,631,89691,1235,79,12,2,1.17,-,-,-,-,3
2022-05-02,17408,669,89691,0,74,13,0,1.17,-,-,-,-,0
2022-05-01,3327,285,85676,0,81,14,0,1.17,-,-,-,-,0
2022-04-30,3524,325,85676,0,83,12,0,1.17,-,-,-,-,0
2022-04-29,14557,395,85676,1071,83,11,10,1.17,-,-,-,-,5
2022-04-28,15434,455,85676,0,76,11,0,1.17,-,-,-,-,0
2022-04-27,16170,487,85676,0,70,12,0,1.18,-,-,-,-,0
2022-04-26,17692,458,85676,1067,68,13,7,1.18,-,-,-,-,4
2022-04-25,18419,499,85676,0,66,13,0,1.19,-,-,-,-,0
2022-04-24,3199,237,318605,0,68,13,0,1.19,-,-,-,-,0
2022-04-23,3616,230,318605,0,66,14,0,1.2,-,-,-,-,0
2022-04-22,14500,333,318605,655,57,14,24,1.21,-,-,-,-,17
2022-04-21,15478,371,318605,0,64,14,0,1.21,-,-,-,-,0
2022-04-20,15745,337,318605,0,63,15,0,1.22,-,-,-,-,0
2022-04-19,16361,335,318605,772,66,15,8,1.22,-,-,-,-,0
2022-04-18,16494,426,318605,0,60,10,0,1.23,-,-,-,-,0
2022-04-17,2163,107,37498,0,60,9,0,1.23,-,-,-,-,0
2022-04-16,3241,136,37498,0,67,8,0,1.23,-,-,-,-,0
2022-04-15,12925,279,37498,711,69,10,21,1.22,-,-,-,-,6
2022-04-14,13695,242,37498,0,67,13,0,1.21,-,-,-,-,0
2022-04-13,15041,297,37498,0,63,11,0,1.2,-,-,-,-,0
2022-04-12,16767,249,37498,604,78,13,10,1.19,-,-,-,-,2
2022-04-11,18101,314,37498,0,86,16,0,1.17,-,-,-,-,0
2022-04-10,3295,142,54505,0,77,13,0,1.15,-,-,-,-,0
2022-04-09,3479,132,54505,0,79,14,0,1.12,-,-,-,-,0
2022-04-08,7694,185,54505,179,80,14,8,1.09,-,-,-,-,5
2022-04-07,9519,208,54505,142,84,20,9,1.06,-,-,-,-,4
2022-04-06,10105,210,54505,236,78,16,9,1.02,-,-,-,-,2
2022-04-05,10595,203,61438,288,67,11,10,0.99,-,-,-,-,6
2022-04-04,10751,240,61438,143,70,14,5,0.96,-,-,-,-,7
2022-04-03,3225,124,61438,0,66,14,0,0.93,-,-,-,-,0
2022-04-02,3588,118,61438,0,72,13,0,0.9,-,-,-,-,0
2022-04-01,14239,182,61438,159,77,14,2,0.87,-,-,-,-,0
2022-03-31,14619,177,61438,87,96,14,4,0.85,-,-,-,-,7
2022-03-30,17350,178,61438,129,89,16,5,0.84,-,-,-,-,3
2022-03-29,18186,181,74434,307,102,17,11,0.83,-,-,-,-,6
2022-03-28,17859,179,74434,148,98,17,4,0.82,-,-,-,-,0
2022-03-27,3504,88,74434,0,95,20,0,0.82,-,-,-,-,0
2022-03-26,3541,98,74434,0,100,20,0,0.83,-,-,-,-,0
2022-03-25,14358,143,74434,171,113,19,3,0.84,-,-,-,-,0
2022-03-24,16527,167,74434,106,129,24,1,0.85,-,-,-,-,0
2022-03-23,17306,184,74434,111,127,24,10,0.87,-,-,-,-,5
2022-03-22,17969,177,100843,121,123,26,3,0.89,-,-,-,-,2
2022-03-21,18277,174,100843,943,125,25,15,0.9,-,-,-,-,0
2022-03-20,3214,86,100843,0,126,24,0,0.92,-,-,-,-,0
2022-03-19,3553,81,100843,0,132,25,0,0.93,-,-,-,-,0
2022-03-18,16663,138,100843,731,137,22,8,0.94,-,-,-,-,0
2022-03-17,16330,168,100843,311,129,25,26,0.95,-,-,-,-,1
2022-03-16,21113,201,100843,215,137,27,11,0.95,-,-,-,-,1
2022-03-15,22241,186,54453,155,133,29,5,0.95,-,-,-,-,0
2022-03-14,22194,170,54453,855,140,31,38,0.94,-,-,-,-,0
2022-03-13,4491,104,54453,0,139,31,0,0.93,-,-,-,-,0
2022-03-12,4990,147,54453,0,150,28,0,0.92,-,-,-,-,0
2022-03-11,17327,185,54453,521,153,30,19,0.91,-,-,-,-,6
2022-03-10,20127,205,54453,314,163,28,17,0.89,-,-,-,-,6
2022-03-09,21055,195,54453,279,160,29,8,0.87,-,-,-,-,0
2022-03-08,21561,243,82612,281,159,29,7,0.85,-,-,-,-,22
2022-03-07,22808,252,82612,1066,166,28,31,0.83,-,-,-,-,49
2022-03-06,4159,156,82612,0,179,37,0,0.81,-,-,-,-,0
2022-03-05,4742,154,82612,0,189,39,0,0.79,-,-,-,-,0
2022-03-04,17403,257,82612,453,195,36,15,0.77,-,-,-,-,13
2022-03-03,20874,279,82612,427,202,33,15,0.75,-,-,-,-,2
2022-03-02,20555,299,82612,385,206,34,11,0.73,-,-,-,-,4
2022-03-01,23118,310,90628,257,217,37,8,0.71,-,-,-,-,2
2022-02-28,24426,348,90628,991,233,35,39,0.68,-,-,-,-,7
2022-02-27,4698,179,90628,0,230,41,0,0.66,-,-,-,-,0
2022-02-26,5243,203,90628,0,252,40,0,0.64,-,-,-,-,0
2022-02-25,20637,354,90628,405,286,55,26,0.62,-,-,-,-,7
2022-02-24,23450,441,90628,317,295,56,20,0.6,-,-,-,-,26
2022-02-23,26443,402,90628,946,299,63,19,0.57,-,-,-,-,11
2022-02-22,28410,489,134795,760,331,68,55,0.55,-,-,-,-,31
2022-02-21,12472,475,134795,0,325,69,0,0.53,-,-,-,-,0
2022-02-20,4810,290,134795,0,334,76,0,0.51,-,-,-,-,0
2022-02-19,5632,376,134795,0,352,79,0,0.5,-,-,-,-,0
2022-02-18,13226,532,134795,567,380,78,31,0.48,-,-,-,-,26
2022-02-17,25788,582,134795,476,363,77,24,0.47,-,-,-,-,8
2022-02-16,25871,662,134795,633,399,76,19,0.46,-,-,-,-,2
2022-02-15,28464,689,180930,702,415,79,18,0.45,-,-,-,-,0
2022-02-14,28326,859,180930,2761,431,77,50,0.45,-,-,-,-,3
2022-02-13,5493,442,180930,0,453,89,0,0.46,-,-,-,-,0
2022-02-12,5858,525,180930,0,456,96,0,0.46,-,-,-,-,0
2022-02-11,14539,906,180930,0,482,101,0,0.47,-,-,-,-,0
2022-02-10,27638,944,180930,1242,538,102,43,0.48,-,-,-,-,66
2022-02-09,26175,1066,180930,1414,581,118,60,0.5,-,-,-,-,10
2022-02-08,29200,1194,273995,309,617,124,25,0.51,-,-,-,-,19
2022-02-07,31381,1369,273995,2845,619,125,28,0.53,-,-,-,-,90
2022-02-06,5734,677,273995,0,620,123,0,0.55,-,-,-,-,0
2022-02-05,7376,827,273995,0,627,120,0,0.57,-,-,-,-,0
2022-02-04,23742,1471,273995,2795,687,124,12,0.59,-,-,-,-,33
2022-02-03,28049,1576,273995,1265,746,134,14,0.6,-,-,-,-,6
2022-02-02,28543,1816,273995,1528,818,147,16,0.62,-,-,-,-,46
2022-02-01,30850,2045,239724,1229,846,161,10,0.64,-,-,-,-,50
2022-01-31,33622,2446,239724,9366,872,164,34,0.66,-,-,-,-,17
2022-01-30,7220,1049,239724,0,934,174,0,0.68,-,-,-,-,0
2022-01-29,10331,1592,239724,0,967,173,0,0.69,-,-,-,-,0
2022-01-28,27484,2716,239724,4751,1007,174,29,0.71,-,-,-,-,20
2022-01-27,32676,3034,239724,1782,1022,178,31,0.73,-,-,-,-,19
2022-01-26,31961,3440,239724,2592,1067,184,28,0.75,-,-,-,-,64
2022-01-25,36620,3959,251069,2864,1086,179,10,0.77,-,-,-,-,54
2022-01-24,39187,4626,251069,18927,1114,191,15,0.79,-,-,-,-,9
2022-01-23,9975,2211,251069,0,1162,195,0,0.81,-,-,-,-,0
2022-01-22,14472,3194,251069,0,1162,204,0,0.83,-,-,-,-,0
