Date,New Tests Administered,Pos Tests Administered,New Tests Reported,New Cases,Hospitalizations,ICU,New Deaths,SNF Cases
2022-09-06,,,,901,,,8,24
2022-09-05,672,80,36223,0,,,0,0
2022-09-04,1274,124,41905,0,,,0,0
2022-09-03,2169,234,41905,0,,,0,0
2022-09-02,3943,357,41905,1327,202,30,7,37
2022-09-01,5103,489,41905,0,206,28,0,0
2022-08-31,6469,517,41905,0,208,40,0,0
2022-08-30,7417,515,41905,1664,204,27,6,21
2022-08-29,6963,609,41905,0,220,25,0,0
2022-08-28,2475,337,41779,0,225,26,0,0
2022-08-27,2849,375,41779,0,216,30,0,0
2022-08-26,5562,537,41779,1612,224,31,14,32
2022-08-25,6227,556,41779,0,230,36,0,0
2022-08-24,6835,641,41779,0,210,28,0,0
2022-08-23,8171,720,41779,1950,258,37,27,17
2022-08-22,7774,846,41779,0,259,35,0,0
2022-08-21,2748,435,47517,0,253,33,0,0
2022-08-20,2874,458,47517,0,236,36,0,0
2022-08-19,5504,599,47517,2076,250,31,29,44
2022-08-18,6712,773,47517,0,271,36,0,0
2022-08-17,7323,835,47517,0,297,42,0,0
2022-08-16,8207,939,47517,2615,314,45,12,15
2022-08-15,7633,928,47517,0,314,44,0,0
2022-08-14,2770,518,48946,0,299,38,0,0
2022-08-13,3113,541,48946,0,299,38,0,0
2022-08-12,5785,849,48946,2308,310,45,15,14
2022-08-11,7161,920,48946,0,291,44,0,0
2022-08-10,7660,1083,48946,0,289,46,0,0
2022-08-09,9351,1074,48946,2978,286,50,12,31
2022-08-08,8582,1163,48946,0,282,40,0,0
2022-08-07,3143,625,58608,0,274,43,0,0
2022-08-06,3381,635,58608,0,275,39,0,0
2022-08-05,6548,1025,58608,2864,269,34,21,30
2022-08-04,7817,1081,58608,0,271,33,0,0
2022-08-03,8844,1189,58608,0,258,36,0,0
2022-08-02,10099,1225,58608,3708,274,37,11,41
2022-08-01,8836,1293,58608,0,295,49,0,0
2022-07-31,3353,719,61026,0,296,43,0,0
2022-07-30,3869,802,61026,0,316,39,0,0
2022-07-29,7517,1251,61026,3790,332,43,8,33
2022-07-28,8313,1289,61026,0,338,49,0,0
2022-07-27,9406,1429,61026,0,350,48,0,0
2022-07-26,11132,1546,61026,4596,341,39,6,30
2022-07-25,10377,1775,61026,0,341,35,0,0
2022-07-24,3822,904,55938,0,308,37,0,0
2022-07-23,4126,1004,55938,0,312,39,0,0
2022-07-22,8584,1504,55938,3527,316,44,8,63
2022-07-21,9087,1610,55938,0,315,50,0,0
2022-07-20,10162,1654,55938,0,319,48,0,0
2022-07-19,12415,1875,55938,4402,307,47,11,38
2022-07-18,11004,2119,55938,0,298,45,0,0
2022-07-17,3884,918,56086,0,295,40,0,0
2022-07-16,4383,1057,56086,0,284,42,0,0
2022-07-15,8645,1669,56086,4226,281,40,15,48
2022-07-14,9482,1744,56086,0,277,35,0,0
2022-07-13,10098,1829,56086,0,296,36,0,0
2022-07-12,12851,2211,56086,5172,301,27,10,59
2022-07-11,10801,2189,56086,0,287,30,0,0
2022-07-10,4139,1107,56131,0,276,31,0,0
2022-07-09,4666,1124,56131,0,279,33,0,0
2022-07-08,9443,1733,56131,4583,280,31,19,33
2022-07-07,9826,1905,56131,0,277,34,0,0
