Date,Virus/ml,Site ID,PCR Target,PCR Gene Target,Zip Code,WWTP Name,EPA ID,Lab ID,Sample ID,Virus,Units
2023-10-18,200.619,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231018,200619,copies/g dry sludge
2023-10-18,44.15,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231018,44150,copies/g dry sludge
2023-10-18,421.186,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231018,421186,copies/g dry sludge
2023-10-16,158.171,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231016,158171,copies/g dry sludge
2023-10-16,101.615,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231016,101615,copies/g dry sludge
2023-10-16,106.195,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231016,106195,copies/g dry sludge
2023-10-13,176.392,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231013,176392,copies/g dry sludge
2023-10-13,121.46,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231013,121460,copies/g dry sludge
2023-10-13,59.723,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231013,59723,copies/g dry sludge
2023-10-11,72.527,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2469,72527,copies/L wastewater
2023-10-11,75.171,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231011,75171,copies/g dry sludge
2023-10-11,927.27,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231011,927270,copies/g dry sludge
2023-10-11,108.896,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231011,108896,copies/g dry sludge
2023-10-09,187.204,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2468,187204,copies/L wastewater
2023-10-09,295.322,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231009,295322,copies/g dry sludge
2023-10-09,53.075,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231009,53075,copies/g dry sludge
2023-10-09,49.857,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231009,49857,copies/g dry sludge
2023-10-08,146.106,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2467,146106,copies/L wastewater
2023-10-06,96.121,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231006,96121,copies/g dry sludge
2023-10-06,372.604,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231006,372604,copies/g dry sludge
2023-10-06,46.425,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231006,46425,copies/g dry sludge
2023-10-04,232.528,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2404,232528,copies/L wastewater
2023-10-04,217.272,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231004,217272,copies/g dry sludge
2023-10-04,90.181,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231004,90181,copies/g dry sludge
2023-10-04,148.885,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231004,148885,copies/g dry sludge
2023-10-02,189.357,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2403,189357,copies/L wastewater
2023-10-02,89.56,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-231002,89560,copies/g dry sludge
2023-10-02,463.734,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-231002,463734,copies/g dry sludge
2023-10-02,67.559,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-231002,67559,copies/g dry sludge
2023-10-01,159.94,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2402,159940,copies/L wastewater
2023-09-29,159.641,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230929,159641,copies/g dry sludge
2023-09-29,111.44,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230929,111440,copies/g dry sludge
2023-09-29,156.494,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230929,156494,copies/g dry sludge
2023-09-27,280.209,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2318,280209,copies/L wastewater
2023-09-27,125.27,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230927,125270,copies/g dry sludge
2023-09-27,120.585,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230927,120585,copies/g dry sludge
2023-09-27,74.037,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230927,74037,copies/g dry sludge
2023-09-25,200.186,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2317,200186,copies/L wastewater
2023-09-25,82.044,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230925,82044,copies/g dry sludge
2023-09-25,224.201,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230925,224201,copies/g dry sludge
2023-09-25,62.991,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230925,62991,copies/g dry sludge
2023-09-24,163.417,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2316,163417,copies/L wastewater
2023-09-22,272.831,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230922,272831,copies/g dry sludge
2023-09-22,81.02,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230922,81020,copies/g dry sludge
2023-09-22,109.398,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230922,109398,copies/g dry sludge
2023-09-20,288.34,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2230,288340,copies/L wastewater
2023-09-20,605.584,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230920,605584,copies/g dry sludge
2023-09-20,178.368,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230920,178368,copies/g dry sludge
2023-09-20,315.543,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230920,315543,copies/g dry sludge
2023-09-18,292.265,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2229,292265,copies/L wastewater
2023-09-18,58.958,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230918,58958,copies/g dry sludge
2023-09-18,103.069,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230918,103069,copies/g dry sludge
2023-09-18,48.522,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230918,48522,copies/g dry sludge
2023-09-17,273.918,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2228,273918,copies/L wastewater
2023-09-15,260.294,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230915,260294,copies/g dry sludge
2023-09-15,644.418,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230915,644418,copies/g dry sludge
2023-09-15,232.236,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230915,232236,copies/g dry sludge
2023-09-13,869.502,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2128,869502,copies/L wastewater
2023-09-13,116.023,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230913,116023,copies/g dry sludge
2023-09-13,446.457,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230913,446457,copies/g dry sludge
2023-09-13,406.422,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230913,406422,copies/g dry sludge
2023-09-11,2005.696,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2127,2005696,copies/L wastewater
2023-09-11,119.663,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230911,119663,copies/g dry sludge
2023-09-11,95.34,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230911,95340,copies/g dry sludge
2023-09-11,148.497,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230911,148497,copies/g dry sludge
2023-09-10,485.151,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2075,485151,copies/L wastewater
2023-09-09,295.146,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230909,295146,copies/g dry sludge
2023-09-09,70.004,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230909,70004,copies/g dry sludge
2023-09-09,54.003,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230909,54003,copies/g dry sludge
2023-09-07,275.017,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230907,275017,copies/g dry sludge
2023-09-07,470.135,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230907,470135,copies/g dry sludge
2023-09-07,89.121,06059-001-02-00-00,sars-cov-2,N,92677,Regional Treatment Plant,CA0107611,VLT,158-230907,89121,copies/g dry sludge
2023-09-06,307.531,06059-003-01-00-00,sars-cov-2,n1,92708,OCSD_P1,CA0110604,DWRL,OCSD_23WBE-2074,307531,copies/L wastewater
2023-09-05,134.23,06059-001-01-00-00,sars-cov-2,N,92677,Coastal Treatment Plant,CA0107611,VLT,159-230905,134230,copies/g dry sludge
2023-09-05,81.665,06059-002-01-00-00,sars-cov-2,N,92629,JB Latham Treatment Plant,CA0107417,VLT,157-230905,81665,copies/g dry sludge
