Concentration,data_source,Lab Id,Sample Date,Ten Rollapply,Wwtp Name,Concentration,Lab Id,units
0,CDPH NWSS,CAL2,3/17/2021,,Joint (Los Angeles),0,CAL2,copies/L wastewater
0,CDPH NWSS,CAL2,3/21/2021,,Joint (Los Angeles),0,CAL2,copies/L wastewater
0,CDPH NWSS,CAL2,3/28/2021,,Joint (Los Angeles),0,CAL2,copies/L wastewater
0,CDPH NWSS,CAL2,3/31/2021,,Joint (Los Angeles),0,CAL2,copies/L wastewater
0,CDPH NWSS,CAL2,4/12/2021,,Joint (Los Angeles),0,CAL2,copies/L wastewater
0,CDPH NWSS,CAL2,4/14/2021,,Joint (Los Angeles),0,CAL2,copies/L wastewater
0,CDPH NWSS,CAL2,4/28/2021,,Joint (Los Angeles),0,CAL2,copies/L wastewater
0,CDPH NWSS,CAL3,3/29/2021,,Orange,0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,4/2/2021,,Orange,0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,4/9/2021,,Orange,0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,4/23/2021,,Orange,0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/2/2021,,Joint (Los Angeles),0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/3/2021,,Orange,0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/5/2021,,Joint (Los Angeles),0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/9/2021,,Joint (Los Angeles),0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/10/2021,,Joint (Los Angeles),0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/12/2021,,Orange,0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/14/2021,,Orange,0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/16/2021,,Joint (Los Angeles),0,CAL3,copies/L wastewater
0,CDPH NWSS,CAL3,5/17/2021,,Joint (Los Angeles),0,CAL3,copies/L wastewater
