date,death,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
20200605,103201,215252,2020-06-05T00:00:00Z,19233193,19231444,19231444,1100,1440,522300,28615,550915,049411d107563da0cd8a0864bc267a80b46123ac
20200604,102101,213812,2020-06-04T00:00:00Z,18684003,18680529,18680529,884,-2828,444782,20797,465579,346ee956f287e783d7c182058085c9840357cb44
20200603,101217,216640,2020-06-03T00:00:00Z,18218506,18214950,18214950,971,2258,437066,20046,457112,5174063654cc33728ecaebda44ace05e0c0a95ac
20200602,100246,214382,2020-06-02T00:00:00Z,17761892,17757838,17757838,1168,1678,393648,23508,417156,5e2b49203edfff9e99b9012af1f1f92193d5311b
20200601,99078,212704,2020-06-01T00:00:00Z,17344137,17340682,17340682,478,2621,387600,16191,403791,55b24b047276220a01c78ae5361a3c0ff3d081f0
20200531,98600,210083,2020-05-31T00:00:00Z,16940161,16936891,16936891,667,949,383661,22545,406206,233eb86e3876b411bb6e212ca95ccc76830a4bac
20200530,97933,209134,2020-05-30T00:00:00Z,16532353,16530685,16530685,970,1440,406716,24454,431170,5b2d11d2f9330d840f64a86664ba10ee897bd4c8
20200529,96963,207694,2020-05-29T00:00:00Z,16102493,16099515,16099515,1185,1720,468342,23934,492276,431857e23f22f44be988ce6f1534df849d4db66e
20200528,95778,205974,2020-05-28T00:00:00Z,15609145,15607239,15607239,1286,2396,385615,22480,408095,e65b557e24cc7bbe3d9a9022ed6b7db950512e00
20200527,94492,203578,2020-05-27T00:00:00Z,15202276,15199144,15199144,1315,1706,272981,19122,292103,76e120e74908c23e1cca66a6e8f00ac97b561cbd
20200526,93177,201872,2020-05-26T00:00:00Z,14908590,14907041,14907041,636,17302,285893,16206,302099,708863c902b84d6559e230631f225b058c771d6d
20200525,92541,184570,2020-05-25T00:00:00Z,14608310,14604942,14604942,536,967,422179,19069,441248,8d4512fb73069362848d4d8250362bf66131ebb8
20200524,92005,183603,2020-05-24T00:00:00Z,14167554,14163694,14163694,655,517,358102,20806,378908,d43b5883d0030abef865ac472b29bcb295765f59
20200523,91350,183086,2020-05-23T00:00:00Z,13788870,13784786,13784786,1087,1389,343430,22298,365728,0d3921e51d507e47b4451570c904bb92845b462f
20200522,90263,181697,2020-05-22T00:00:00Z,13422767,13419058,13419058,1285,4413,370137,24159,394296,cfcce4ee6f0b4ebee4b25f66005d27256f3717e8
20200521,88978,177284,2020-05-21T00:00:00Z,13028403,13024762,13024762,1431,4619,390643,25903,416546,bb1d4c6881e5bd730598a890c0874a274326e8e0
20200520,87547,172665,2020-05-20T00:00:00Z,12611189,12608216,12608216,1394,2030,384062,21342,405404,c99a3e159c374188a35f8c2fa1b334f2a525018f
20200519,86153,170635,2020-05-19T00:00:00Z,12205756,12202812,12202812,1414,1641,375851,20940,396791,011620422fa92a01637d6f3161edc3f1cbe8c9e0
20200518,84739,168994,2020-05-18T00:00:00Z,11809617,11806021,11806021,787,1039,325863,19684,345547,293cc0bac091a4c0cfccbe626f34e868d54049d8
20200517,83952,167955,2020-05-17T00:00:00Z,11463923,11460474,11460474,854,1185,382030,20933,402963,704961077c92c5afcc4a5417e9d54fdc8a7bacf9
20200516,83098,166770,2020-05-16T00:00:00Z,11061299,11057511,11057511,1289,1873,327904,25032,352936,2d94f1dd561325a8c59a9abac32ef384a11b10b7
20200515,81809,164897,2020-05-15T00:00:00Z,10707032,10704575,10704575,1489,1305,338453,24488,362941,fe0cbdd445a98ceed3b68b45c53019b32af29154
20200514,80320,163592,2020-05-14T00:00:00Z,10344307,10341634,10341634,1905,3200,349800,26951,376751,16baf5013317fcdc95148999b4d943d278370837
20200513,78415,160392,2020-05-13T00:00:00Z,9966866,9964883,9964883,1687,1796,275534,20491,296025,d23d4ede382ecaba4a8930cfbc6afa7fc2f50b85
20200512,76728,158596,2020-05-12T00:00:00Z,9670661,9668858,9668858,1516,1564,283262,21483,304745,67187b9bad38dfe0bb3fe98672e890cb9ab7755e
20200511,75212,157032,2020-05-11T00:00:00Z,9366102,9364113,9364113,847,1206,367299,17345,384644,895ad36c2004bcfdc81656c8e0df95b3c07100c8
20200510,74365,155826,2020-05-10T00:00:00Z,8982564,8979469,8979469,996,1034,249408,21799,271207,8890c0d701ac4b7240ae12c734f7baaa24520a4b
20200509,73369,154792,2020-05-09T00:00:00Z,8711316,8708262,8708262,1524,1704,268404,25149,293553,4644e2b3800a2d7768b5afd2d5f36b6754f1e5ee
20200508,71845,153088,2020-05-08T00:00:00Z,8418016,8414709,8414709,1766,6867,271572,27697,299269,27f0b1baf89c4086916bffc5491ebf87c8ab156f
20200507,70079,146221,2020-05-07T00:00:00Z,8118611,8115440,8115440,2740,3713,276799,27506,304305,2e4483fc0313a6d3fd06156924fa40414ca7aab7
20200506,67339,142508,2020-05-06T00:00:00Z,7813877,7811135,7811135,1943,2100,221033,25099,246132,eda2f8ad281afd7d080f0cbf948cfe71c3f1d8bf
20200505,65396,140408,2020-05-05T00:00:00Z,7567636,7565003,7565003,2509,1966,238697,22121,260818,26601c348fe239f78845ce6ec75d8f3993c6af59
20200504,62887,138442,2020-05-04T00:00:00Z,7306976,7304185,7304185,928,1614,212181,21639,233820,33a499a9cd358e623049edf6364b4a0e6940dfa9
20200503,61959,136828,2020-05-03T00:00:00Z,7073177,7070365,7070365,1177,1916,214888,25993,240881,3d4f9470f39c52410607affa6127d96f17cbeb66
20200502,60782,134912,2020-05-02T00:00:00Z,6831062,6829484,6829484,1639,2120,220565,29838,250403,be188f411e6c8a9ed1953a5870fad012fabd65f8
20200501,59143,132792,2020-05-01T00:00:00Z,6580720,6579081,6579081,1737,9774,263659,33222,296881,9d1778fb5c748b229214ed5ce024d31e5b701128
