Dates,New Tests,New Cases,New Deaths,Hospitalizations,ICU Cases
2020-06-16,464715,23498,713,28028,5564
2020-06-15,449488,18521,375,27115,5695
2020-06-14,485082,21486,358,27247,5743
2020-06-13,519910,25344,695,27902,5878
2020-06-12,583418,23318,751,28524,6012
2020-06-11,448120,22023,936,29064,6067
2020-06-10,422704,20749,878,30203,6242
2020-06-09,415882,17166,902,30547,6450
2020-06-08,399865,17123,655,29969,6394
2020-06-07,445476,19307,460,30299,6493
2020-06-06,477704,22355,717,30909,6754
2020-06-05,504193,22990,848,31335,6912
2020-06-04,460504,20566,876,31659,7054
2020-06-03,467820,20189,969,32081,7224
2020-06-02,431033,23780,1157,32728,7403
2020-06-01,403353,16411,478,33237,7620
2020-05-31,399317,21566,655,33840,7623
2020-05-30,427809,23712,937,34650,7956
2020-05-29,492364,23365,1178,35871,8175
2020-05-28,419799,22467,1272,36967,8389
2020-05-27,307610,19300,1271,37251,8547
2020-05-26,307652,16571,635,36609,8585
2020-05-25,421668,18669,562,36668,8472
2020-05-24,383143,20101,678,36706,8487
2020-05-23,398760,21653,1048,37873,8812
2020-05-22,405101,24452,1287,38802,9048
2020-05-21,423137,26490,1403,39915,9090
2020-05-20,410298,21469,1387,40884,9829
2020-05-19,410692,21773,1363,41091,9829
2020-05-18,348884,19873,794,40933,10015
2020-05-17,373493,20256,882,41108,10164
2020-05-16,363785,24627,1266,42896,10509
2020-05-15,360803,24599,1498,42854,10704
2020-05-14,366651,26601,1878,44075,10888
2020-05-13,321472,21182,1691,44514,10978
2020-05-12,310132,22587,1475,45199,11241
2020-05-11,384003,18199,872,44191,11147
2020-05-10,268006,21584,1016,44943,11393
2020-05-09,291829,24708,1440,46637,11496
2020-05-08,299973,27584,1778,47718,11780
2020-05-07,303663,27500,2733,49130,12137
2020-05-06,247383,24950,1930,50227,9380
2020-05-05,272954,22398,2438,50906,9348
2020-05-04,233242,22361,1009,50062,9366
2020-05-03,236737,25769,1210,50312,9292
2020-05-02,249297,29298,1544,51734,9403
2020-05-01,297568,33043,1746,52370,9205
2020-04-30,235443,29581,2114,53793,9486
2020-04-29,240902,27140,2692,54930,9612
2020-04-28,207869,25078,2050,54940,9491
2020-04-27,198034,22016,1219,54971,9655
2020-04-26,206592,27387,1179,55050,14831
2020-04-25,278109,36001,1712,56344,15020
2020-04-24,237070,34149,1859,56075,15078
2020-04-23,194346,31749,1761,57889,15163
2020-04-22,324492,28872,2060,58130,15341
2020-04-21,153860,26278,2426,58579,15228
2020-04-20,146494,25811,1756,55677,14691
2020-04-19,153687,27387,1735,55570,14548
2020-04-18,146212,27962,1830,56591,14788
2020-04-17,159554,31979,2081,57808,14910
