Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-07-07,51888,653091,41700,5826,919,1.09853165601
2020-07-06,47375,518392,39749,5680,242,1.1012320995799998
2020-07-05,42578,655510,38734,5652,209,1.10390582521
2020-07-04,52406,644930,38136,5628,306,1.10653980453
2020-07-03,57562,721054,37750,5589,635,1.1091269191
2020-07-02,53684,665084,37473,5624,670,1.1116630461399999
2020-07-01,52982,633259,36360,5509,701,1.1140990256299999
2020-06-30,44358,636693,35231,5421,596,1.1164030645899998
2020-06-29,36490,648800,33567,5378,330,1.11673163418
2020-06-28,42161,586369,32475,5245,271,1.11686485954
2020-06-27,43471,590877,32476,5311,509,1.11677194034
2020-06-26,44373,602947,31724,5279,636,1.11641965909
2020-06-25,39061,637587,31839,5315,2501,1.11577335666
2020-06-24,38706,512428,31083,5290,724,1.11479844796
2020-06-23,33018,501414,30229,5399,708,1.1134625043100002
2020-06-22,27080,464802,28789,5320,283,1.1117379205700002
2020-06-21,27257,512178,27948,5163,292,1.1096049934
2020-06-20,31958,566476,27962,5225,628,1.1070551335299998
2020-06-19,31055,571246,28639,5338,655,1.1040937795299999
2020-06-18,27512,517739,28409,5464,704,1.10074223698
2020-06-17,23871,488751,28561,5611,767,1.09703784586
2020-06-16,23638,467026,28264,5570,733,1.09303203113
2020-06-15,18655,447739,27778,5700,379,1.0887857500799998
2020-06-14,21240,478569,27860,5748,353,1.08336527126
2020-06-13,25134,499828,28510,5883,690,1.0778265929700002
2020-06-12,23481,618911,29150,6017,772,1.07222176987
2020-06-11,22051,459079,29696,6073,898,1.06658765842
2020-06-10,20764,429546,30847,6248,885,1.06094308757
2020-06-09,17156,420463,31157,6456,898,1.05528892484
2020-06-08,17168,403692,30615,6402,660,1.04961096569
2020-06-07,18774,446343,30893,6501,446,1.0438851287
2020-06-06,23038,511177,31468,6762,727,1.03808413878
2020-06-05,23363,509466,31868,6920,823,1.0321847160200002
2020-06-04,20828,462250,32233,7056,888,1.02617422623
2020-06-03,20314,467965,32661,7226,991,1.02005577847
