Date,New Tests,New Cases,New Deaths,Hospital Cases,ICU Cases,Rt
2021-04-20,460622,57261,733,,,
2021-04-19,558697,44031,453,,,
2021-04-18,480738,54208,358,,,
2021-04-17,886326,69731,678,44558,10179,
2021-04-16,1303206,76313,905,44555,10181,
2021-04-15,1347681,73103,832,44450,10136,
2021-04-14,1545744,74362,838,46490,10300,
2021-04-13,1507398,76021,714,44739,10301,
2021-04-12,990885,57267,576,44242,10229,
2021-04-11,609171,54376,332,43340,9943,
2021-04-10,948109,68265,734,42606,9816,
2021-04-09,1367023,81166,899,43122,9764,
2021-04-08,1416582,75839,928,43175,9860,
2021-04-07,1546664,76214,776,43247,9794,
2021-04-06,1495187,61214,714,42459,9708,
2021-04-05,911500,62912,353,41117,9605,
2021-04-04,556486,41537,379,40454,9341,
2021-04-03,946288,68074,690,39908,9156,
2021-04-02,1306065,65538,816,40274,9081,
2021-04-01,1410906,75292,774,40580,9132,
2021-03-31,1549548,69551,941,40644,9192,
2021-03-30,1503356,62915,718,40265,9201,
2021-03-29,983104,61791,613,39784,9169,
2021-03-28,615702,47514,513,39386,9013,
2021-03-27,983372,63305,753,38949,8846,
2021-03-26,1348960,71380,1185,39626,8968,
2021-03-25,1423310,68067,1058,39456,8935,
2021-03-24,1627334,66089,1112,39634,9140,
2021-03-23,1500016,59459,724,39120,9137,
2021-03-22,953183,55531,948,38549,9076,
2021-03-21,603883,39121,435,38183,8869,
2021-03-20,975495,60472,674,38186,8934,
2021-03-19,1320406,61523,1233,39333,9097,
2021-03-18,1450525,58683,948,39599,9225,
2021-03-17,1593018,58282,1017,40163,9445,
2021-03-16,1473582,52058,936,40076,9509,
2021-03-15,930830,45419,751,39724,9560,
2021-03-14,574168,40272,576,39738,9482,
2021-03-13,1014898,52857,932,40216,9607,
2021-03-12,1379373,62725,1073,41239,9839,
2021-03-11,1475968,60950,1389,41681,9943,
2021-03-10,1584987,57475,1398,42359,10230,
2021-03-09,1518364,52958,1247,42444,10367,
2021-03-08,960818,42788,911,42714,10534,
2021-03-07,602102,42032,879,43081,10635,
2021-03-06,1054944,58096,1507,43748,10769,
2021-03-05,1409546,66114,2018,45060,11061,
2021-03-04,1527147,66472,1607,45856,11285,
2021-03-03,1710024,63866,1693,47871,11501,
2021-03-02,1589686,55276,1948,48257,11855,
2021-03-01,975723,50681,1304,48888,12179,
2021-02-28,624184,50379,898,50477,12401,
2021-02-27,1063516,70309,1737,51261,12530,
2021-02-26,1451984,72984,1909,53168,12942,
2021-02-25,1590090,73837,2223,55257,13332,
2021-02-24,1668598,74351,2184,57156,13688,
2021-02-23,1625807,69766,2006,58048,14196,
2021-02-22,1026316,55436,1616,58648,14521,
2021-02-21,680230,54100,1267,59544,14625,
2021-02-20,1051812,69789,2023,60329,14982,
2021-02-19,1340958,72850,2530,62720,15296,
2021-02-18,1402389,67798,2463,64531,15937,
2021-02-17,1466951,69370,2660,68617,16430,
2021-02-16,1242183,57444,1502,66949,16745,
2021-02-15,793925,55066,1247,67280,17076,
2021-02-14,661193,66088,1289,69115,17201,
2021-02-13,1082473,88841,2026,70857,17648,
2021-02-12,1401578,97636,2779,73342,18087,
2021-02-11,1408534,101373,3321,76224,18475,
2021-02-10,1624782,96314,3453,79415,19161,
2021-02-09,1679422,91555,2725,80898,19806,
2021-02-08,1035226,81835,1631,82173,20122,
2021-02-07,825151,90979,1537,84267,20176,
2021-02-06,1327029,109283,2715,85572,20608,
2021-02-05,1816693,127267,3412,88732,21114,
2021-02-04,1919671,125993,3471,91449,21653,
2021-02-03,1856395,119379,3583,94019,22172,
2021-02-02,1622327,119355,3351,95359,22582,
2021-02-01,1027337,125153,1873,96208,23007,
2021-01-31,941455,112936,2075,97874,23333,
2021-01-30,1421723,155735,2813,99156,23512,
2021-01-29,1818664,149474,3485,102791,23967,
2021-01-28,1891295,158053,3614,106331,24488,
2021-01-27,2044458,156499,3923,109494,25128,
2021-01-26,1761736,149736,3728,111137,25678,
2021-01-25,1221531,133567,2200,112279,25704,
2021-01-24,993875,140240,2078,114059,25868,
2021-01-23,1531122,171490,3307,114755,26093,
2021-01-22,1895512,190336,3800,118981,26795,
2021-01-21,2026344,188935,3958,121160,27227,
2021-01-20,2105847,188530,4298,124738,27760,
2021-01-19,1786483,148215,2337,126162,28337,
2021-01-18,1279202,150776,1946,127085,28599,
2021-01-17,1058445,184637,2046,127811,28591,
2021-01-16,1570397,214341,3528,128396,28827,
2021-01-15,2015248,245689,3614,131159,30740,
2021-01-14,2049914,226245,3891,132084,29242,
2021-01-13,2083252,224395,4139,134310,29346,
2021-01-12,2004310,222050,4197,133972,29565,
